Drop,Rise Time (in sec),Fall Time (in sec),Vrise,Vfall,Average Vrise,Average Vfall,Charge (in coulombs),Charge (in e)
17,,6.64,,0.00007530120482,,,,
17,4.6,,0.0001086956522,,,,,
17,,6.78,,0.00007374631268,,,,
17,3.89,,0.0001285347044,,,,,
18,,6.9,,0.00007246376812,0.00008241931857,0.00007425986371,7.16E-19,4.470794228
18,6.14,,0.00008143322476,,,,,
18,,7.05,,0.00007092198582,,,,
18,5.8,,0.00008620689655,,,,,
18,,6.4,,0.000078125,,,,
18,6.28,,0.00007961783439,,,,,
18,,6.62,,0.00007552870091,,,,
19,,26.43,,0.00001891789633,0.00006936794416,0.00001968357931,1.83E-19,1.141831042
19,7.64,,0.00006544502618,,,,,
19,,25.64,,0.00001950078003,,,,
19,7.28,,0.00006868131868,,,,,
19,,26.32,,0.00001899696049,,,,
19,7.62,,0.0000656167979,,,,,
19,,25.69,,0.000019462826,,,,
19,7.15,,0.00006993006993,,,,,
19,,25.7,,0.00001945525292,,,,
19,7.7,,0.00006493506494,,,,,
19,,26.01,,0.00001922337562,,,,
19,7.75,,0.00006451612903,,,,,
19,,24.15,,0.00002070393375,,,,
19,6.92,,0.00007225433526,,,,,
19,,25.82,,0.00001936483346,,,,
19,6.7,,0.00007462686567,,,,,
19,,23.88,,0.00002093802345,,,,
19,7.51,,0.00006657789614,,,,,
19,,25.41,,0.0000196772924,,,,
19,6.88,,0.0000726744186,,,,,
19,,24.86,,0.00002011263073,,,,
19,6.55,,0.00007633587786,,,,,
19,,25.19,,0.00001984914649,,,,
19,7.06,,0.00007082152975,,,,,
20,,15.44,,0.00003238341969,0.00009587644829,0.00003212102331,3.57E-19,2.228088544
20,5.09,,0.00009823182711,,,,,
20,,15.79,,0.00003166561115,,,,
20,5.23,,0.00009560229446,,,,,
20,,16.51,,0.00003028467595,,,,
20,5.13,,0.00009746588694,,,,,
20,,15.18,,0.00003293807642,,,,
20,5.45,,0.00009174311927,,,,,
20,,15,,0.00003333333333,,,,
20,5.19,,0.00009633911368,,,,,
21,,12.07,,0.00004142502071,0.0001269035533,0.00003956620568,5.27E-19,3.286795064
21,3.94,,0.0001269035533,,,,,
21,,13.26,,0.00003770739065,,,,
22,,16.43,,0.00003043213634,0.00009731917988,0.00003208136893,3.61E-19,2.250816206
22,4.91,,0.0001018329939,,,,,
22,,15.92,,0.00003140703518,,,,
22,5.51,,0.00009074410163,,,,,
22,,14.68,,0.0000340599455,,,,
22,5.01,,0.0000998003992,,,,,
22,,15.72,,0.00003180661578,,,,
22,5.16,,0.00009689922481,,,,,
22,,15.29,,0.00003270111184,,,,
23,5.44,,0.00009191176471,,0.00009434159329,0.00003112709264,3.43E-19,2.142550123
23,,16.51,,0.00003028467595,,,,
23,5.36,,0.00009328358209,,,,,
23,,15.75,,0.00003174603175,,,,
23,5.11,,0.00009784735812,,,,,
23,,15.25,,0.00003278688525,,,,
23,5.42,,0.00009225092251,,,,,
23,,16.97,,0.00002946375958,,,,
23,4.92,,0.0001016260163,,,,,
23,,17.31,,0.00002888503755,,,,
23,5.03,,0.00009940357853,,,,,
23,,15.69,,0.00003186743149,,,,
23,5.64,,0.00008865248227,,,,,
23,,16.25,,0.00003076923077,,,,
23,5.35,,0.00009345794393,,,,,
23,,15.21,,0.0000328731098,,,,
23,5.28,,0.0000946969697,,,,,
23,,16.12,,0.00003101736973,,,,
23,5.42,,0.00009225092251,,,,,
23,,15.65,,0.00003194888179,,,,
23,5.39,,0.00009276437848,,,,,
23,,15.53,,0.00003219575016,,,,
23,5.36,,0.00009328358209,,,,,
23,,17.15,,0.00002915451895,,,,
23,5.22,,0.00009578544061,,,,,
23,,15.71,,0.00003182686187,,,,
23,5.54,,0.00009025270758,,,,,
23,,16.15,,0.00003095975232,,,,
23,5.12,,0.00009765625,,,,,
