Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1239.05
Elapsed Live Time:,1201.6
Start Time:,October 06, 2021, 03:47:12
End Time:,October 06, 2021, 04:07:51
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
90,150.2739130434784,9895
91,152.48695652173924,10115
92,154.70000000000013,10427
93,156.913043478261,10425
94,159.12608695652187,10487
95,161.33913043478273,10655
96,163.5521739130436,10550
97,165.76521739130447,10644
98,167.97826086956533,10635
99,170.19130434782622,10545
100,172.40434782608708,10408
101,174.61739130434796,10424
102,176.83043478260882,10183
103,179.04347826086968,10283
104,181.25652173913056,10257
105,183.46956521739142,10134
106,185.6826086956523,9915
107,187.89565217391316,9834
108,190.10869565217405,9833
109,192.3217391304349,9805
110,194.53478260869576,9723
111,196.74782608695665,9782
112,198.9608695652175,9785
113,201.1739130434784,9479
114,203.38695652173925,9343
115,205.60000000000014,9309
116,207.81304347826097,9379
117,210.02608695652185,9358
118,212.23913043478274,9200
119,214.45217391304362,8970
120,216.66521739130445,9138
121,218.87826086956534,8863
122,221.09130434782622,9152
123,223.30434782608705,8931
124,225.51739130434794,8819
125,227.73043478260882,8816
126,229.9434782608697,8486
127,232.15652173913054,8529
128,234.36956521739143,8761
129,236.5826086956523,8439
130,238.79565217391314,8606
131,241.00869565217403,8513
132,243.2217391304349,8415
133,245.4347826086958,8312
134,247.64782608695663,8069
135,249.8608695652175,8173
136,252.0739130434784,8146
137,254.28695652173923,8135
138,256.5000000000001,8076
139,258.713043478261,7847
140,260.9260869565219,7993
141,263.1391304347827,7920
142,265.3521739130436,7841
143,267.5652173913045,7872
144,269.7782608695653,7883
145,271.9913043478262,7870
146,274.2043478260871,7760
147,276.417391304348,7660
148,278.6304347826088,7609
149,280.8434782608697,7815
150,283.0565217391306,7627
151,285.2695652173914,7640
152,287.4826086956523,7566
153,289.6956521739132,7543
154,291.908695652174,7470
155,294.1217391304349,7486
156,296.3347826086958,7361
157,298.54782608695666,7353
158,300.7608695652175,7364
159,302.9739130434784,7265
160,305.18695652173926,7515
161,307.4000000000001,7373
162,309.613043478261,7482
163,311.82608695652186,7372
164,314.03913043478275,7278
165,316.2521739130436,7266
166,318.46521739130446,7142
167,320.67826086956535,7399
168,322.8913043478262,7324
169,325.10434782608706,7141
170,327.31739130434795,7226
171,329.53043478260884,7098
172,331.74347826086967,7214
173,333.95652173913055,7206
174,336.16956521739144,7031
175,338.38260869565227,7084
176,340.59565217391315,7263
177,342.80869565217404,7284
178,345.0217391304349,7191
179,347.23478260869575,7272
180,349.44782608695664,7196
181,351.6608695652175,7118
182,353.87391304347835,7301
183,356.08695652173924,7332
184,358.3000000000001,7477
185,360.513043478261,7180
186,362.72608695652184,7302
187,364.9391304347827,7430
188,367.1521739130436,7265
189,369.36521739130444,7390
190,371.5782608695653,7281
191,373.7913043478262,7341
192,376.00434782608704,7470
193,378.2173913043479,7528
194,380.4304347826088,7503
195,382.6434782608697,7465
196,384.8565217391305,7498
197,387.0695652173914,7382
198,389.2826086956523,7547
199,391.49565217391313,7605
200,393.708695652174,7693
201,395.9217391304349,7840
202,398.1347826086958,7648
203,400.3478260869566,7758
204,402.5608695652175,7797
205,404.7739130434784,7778
206,406.9869565217392,7671
207,409.2000000000001,7859
208,411.413043478261,7724
209,413.6260869565219,7838
210,415.8391304347827,7820
211,418.0521739130436,7628
212,420.2652173913045,7646
213,422.4782608695653,7495
214,424.6913043478262,7405
215,426.9043478260871,7269
216,429.11739130434796,7231
217,431.3304347826088,6899
218,433.5434782608697,6813
219,435.75652173913056,6572
220,437.9695652173914,6279
