Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1824.6
Elapsed Live Time:,1800.82
Start Time:,October 06, 2021, 04:20:34
End Time:,October 06, 2021, 04:50:58
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
90,150.2739130434784,6155
91,152.48695652173924,6429
92,154.70000000000013,6435
93,156.913043478261,6418
94,159.12608695652187,6583
95,161.33913043478273,6800
96,163.5521739130436,6810
97,165.76521739130447,6826
98,167.97826086956533,6729
99,170.19130434782622,6540
100,172.40434782608708,6573
101,174.61739130434796,6545
102,176.83043478260882,6485
103,179.04347826086968,6515
104,181.25652173913056,6373
105,183.46956521739142,6461
106,185.6826086956523,6217
107,187.89565217391316,6268
108,190.10869565217405,6338
109,192.3217391304349,6374
110,194.53478260869576,6082
111,196.74782608695665,6054
112,198.9608695652175,5952
113,201.1739130434784,6122
114,203.38695652173925,5888
115,205.60000000000014,5927
116,207.81304347826097,5911
117,210.02608695652185,5934
118,212.23913043478274,5828
119,214.45217391304362,5781
120,216.66521739130445,5814
121,218.87826086956534,5747
122,221.09130434782622,5513
123,223.30434782608705,5803
124,225.51739130434794,5553
125,227.73043478260882,5669
126,229.9434782608697,5415
127,232.15652173913054,5388
128,234.36956521739143,5387
129,236.5826086956523,5325
130,238.79565217391314,5266
131,241.00869565217403,5368
132,243.2217391304349,5307
133,245.4347826086958,5195
134,247.64782608695663,5233
135,249.8608695652175,5291
136,252.0739130434784,5210
137,254.28695652173923,5053
138,256.5000000000001,5246
139,258.713043478261,4928
140,260.9260869565219,5170
141,263.1391304347827,4890
142,265.3521739130436,5041
143,267.5652173913045,4954
144,269.7782608695653,5098
145,271.9913043478262,4825
146,274.2043478260871,4928
147,276.417391304348,4931
148,278.6304347826088,4926
149,280.8434782608697,4808
150,283.0565217391306,4816
151,285.2695652173914,4848
152,287.4826086956523,4846
153,289.6956521739132,4716
154,291.908695652174,4896
155,294.1217391304349,4791
156,296.3347826086958,4782
157,298.54782608695666,4675
158,300.7608695652175,4680
159,302.9739130434784,4784
160,305.18695652173926,4746
161,307.4000000000001,4650
162,309.613043478261,4671
163,311.82608695652186,4817
164,314.03913043478275,4624
165,316.2521739130436,4685
166,318.46521739130446,4535
167,320.67826086956535,4738
168,322.8913043478262,4642
169,325.10434782608706,4702
170,327.31739130434795,4578
171,329.53043478260884,4559
172,331.74347826086967,4581
173,333.95652173913055,4588
174,336.16956521739144,4513
175,338.38260869565227,4710
176,340.59565217391315,4528
177,342.80869565217404,4536
178,345.0217391304349,4528
179,347.23478260869575,4600
180,349.44782608695664,4674
181,351.6608695652175,4591
182,353.87391304347835,4677
183,356.08695652173924,4489
184,358.3000000000001,4506
185,360.513043478261,4641
186,362.72608695652184,4663
187,364.9391304347827,4704
188,367.1521739130436,4682
189,369.36521739130444,4754
190,371.5782608695653,4729
191,373.7913043478262,4737
192,376.00434782608704,4789
193,378.2173913043479,4721
194,380.4304347826088,4887
195,382.6434782608697,4826
196,384.8565217391305,4768
197,387.0695652173914,4810
198,389.2826086956523,4756
199,391.49565217391313,4740
200,393.708695652174,4905
201,395.9217391304349,4752
202,398.1347826086958,4712
203,400.3478260869566,4920
204,402.5608695652175,4896
205,404.7739130434784,4809
206,406.9869565217392,4765
207,409.2000000000001,4777
208,411.413043478261,4925
209,413.6260869565219,4738
210,415.8391304347827,4728
211,418.0521739130436,4626
212,420.2652173913045,4635
213,422.4782608695653,4561
214,424.6913043478262,4433
215,426.9043478260871,4467
216,429.11739130434796,4307
217,431.3304347826088,4128
218,433.5434782608697,4143
219,435.75652173913056,3984
220,437.9695652173914,3777
