Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.50
Upper Discriminator:,2270
Lower Discriminator:,-17
Calibration Coefficients:,-48.899999999999864,2.2130434782608694
Calibration Channels:,253,598
Calibration Energies:,511.0,1274.5
Elapsed Real Time:,1221.56
Elapsed Live Time:,1201.72
Start Time:,October 06, 2021, 03:37:30
End Time:,October 06, 2021, 03:42:18
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,494,551,28737,21660,28,1106
2,294,350,456824,385712,27,662

Channel Data:
Channel,Energy,Counts
88,145.84782608695664,4943
89,148.06086956521753,5138
90,150.2739130434784,5187
91,152.48695652173924,5285
92,154.70000000000013,5417
93,156.913043478261,5364
94,159.12608695652187,5522
95,161.33913043478273,5512
96,163.5521739130436,5354
97,165.76521739130447,5506
98,167.97826086956533,5591
99,170.19130434782622,5587
100,172.40434782608708,5431
101,174.61739130434796,5328
102,176.83043478260882,5313
103,179.04347826086968,5371
104,181.25652173913056,5289
105,183.46956521739142,5390
106,185.6826086956523,5359
107,187.89565217391316,5286
108,190.10869565217405,5252
109,192.3217391304349,5253
110,194.53478260869576,5269
111,196.74782608695665,5120
112,198.9608695652175,5079
113,201.1739130434784,5027
114,203.38695652173925,4977
115,205.60000000000014,4804
116,207.81304347826097,4946
117,210.02608695652185,4865
118,212.23913043478274,4794
119,214.45217391304362,4807
120,216.66521739130445,4830
121,218.87826086956534,4772
122,221.09130434782622,4731
123,223.30434782608705,4781
124,225.51739130434794,4672
125,227.73043478260882,4522
126,229.9434782608697,4550
127,232.15652173913054,4448
128,234.36956521739143,4532
129,236.5826086956523,4528
130,238.79565217391314,4400
131,241.00869565217403,4347
132,243.2217391304349,4367
133,245.4347826086958,4405
134,247.64782608695663,4459
135,249.8608695652175,4340
136,252.0739130434784,4376
137,254.28695652173923,4341
138,256.5000000000001,4285
139,258.713043478261,4315
140,260.9260869565219,4184
141,263.1391304347827,4139
142,265.3521739130436,4146
143,267.5652173913045,4163
144,269.7782608695653,4100
145,271.9913043478262,4160
146,274.2043478260871,3976
147,276.417391304348,3958
148,278.6304347826088,4043
149,280.8434782608697,3957
150,283.0565217391306,4102
151,285.2695652173914,3920
152,287.4826086956523,3998
153,289.6956521739132,4025
154,291.908695652174,3964
155,294.1217391304349,3918
156,296.3347826086958,3836
157,298.54782608695666,3970
158,300.7608695652175,3835
159,302.9739130434784,3825
160,305.18695652173926,3903
161,307.4000000000001,3860
162,309.613043478261,3831
163,311.82608695652186,3765
164,314.03913043478275,3743
165,316.2521739130436,3796
166,318.46521739130446,3784
167,320.67826086956535,3756
168,322.8913043478262,3851
169,325.10434782608706,3634
170,327.31739130434795,3840
171,329.53043478260884,3733
172,331.74347826086967,3762
173,333.95652173913055,3800
174,336.16956521739144,3733
175,338.38260869565227,3700
176,340.59565217391315,3723
177,342.80869565217404,3637
178,345.0217391304349,3765
179,347.23478260869575,3717
180,349.44782608695664,3806
181,351.6608695652175,3760
182,353.87391304347835,3708
183,356.08695652173924,3730
184,358.3000000000001,3753
185,360.513043478261,3754
186,362.72608695652184,3759
187,364.9391304347827,3719
188,367.1521739130436,3748
189,369.36521739130444,3705
190,371.5782608695653,3853
191,373.7913043478262,3740
192,376.00434782608704,3725
193,378.2173913043479,3834
194,380.4304347826088,3813
195,382.6434782608697,3812
196,384.8565217391305,3700
197,387.0695652173914,3914
198,389.2826086956523,3868
199,391.49565217391313,3874
200,393.708695652174,3938
201,395.9217391304349,3851
202,398.1347826086958,4007
203,400.3478260869566,4051
204,402.5608695652175,3981
205,404.7739130434784,4026
206,406.9869565217392,4026
207,409.2000000000001,4042
208,411.413043478261,3901
209,413.6260869565219,3959
210,415.8391304347827,3944
211,418.0521739130436,3926
212,420.2652173913045,3884
213,422.4782608695653,3879
214,424.6913043478262,3946
215,426.9043478260871,3681
216,429.11739130434796,3639
217,431.3304347826088,3511
218,433.5434782608697,3578
